Time (s),Position Simple (m),Position Verlet (m),Position Theory (m),R.D Position Simple (%),R.D Position Verlet (%),Velocity Simple (m/s),Velocity Verlet (m/s),Velocity Theory (m/s),R.D Velocity Simple (%),R.D Velocity Verlet (%)
1.0999999999999999,93.58940236334533,94.12078018115432,94.20799025130886,0.6566193444031506,0.09257184016122134,-10.62755636536999,-10.627556284795373,-10.44349363477977,1.7624631854731028,1.7624624139437657
1.2,92.4318777977026,93.01064007992099,93.12147973455336,0.7405401404879977,0.11902694732549869,-11.57524565642726,-11.575245568808999,-11.356890722808089,1.9226647411570839,1.922663969658412
1.3,91.17988759920003,91.80588269767796,91.94421223263423,0.8312917310122039,0.1504494210100721,-12.519901985025658,-12.519901890409669,-12.264451078383217,2.0828564198253225,2.0828556483599785
1.4000000000000001,89.83373409644676,90.5068108468505,90.67676769661037,0.9297128929256283,0.18743152637345686,-13.461535027532728,-13.4615349259647,-13.16621196896375,2.243037399558291,2.2430366281289147
1.5000000000000002,88.39371865350228,89.1137263737707,89.31972237456095,1.0367292871505962,0.23062767697195605,-14.400154429444854,-14.400154320970266,-14.062210424056161,2.4032068586498543,2.403206087259125
1.6000000000000003,86.8601416729537,87.62693016175965,87.87364883522885,1.153368701208215,0.2807652541341758,-15.335769805485768,-15.335769690149874,-14.952483236734281,2.563363975622815,2.5633632042733883
1.7000000000000004,85.23330259898323,86.0467221341998,86.33911599151313,1.280779146080896,0.3386574601274235,-16.26839073970472,-16.268390617552555,-15.837066965148779,2.723507929246733,2.723507157941251
1.8000000000000005,83.5134999204258,84.37340125759752,84.71668912381155,1.4202505029762356,0.40521869983884673,-17.198026785574346,-17.198026656650732,-16.715997934027257,2.8836378985538498,2.8836371272950014
1.9000000000000006,81.70103117381697,82.60726554463591,83.006929903214,1.5732406088500148,0.4814831232092324,-18.12468746608823,-18.12468733043777,-17.58931223616463,3.0437530628561844,3.0437522916466118
2.0000000000000004,79.79619294643116,80.74861205721777,81.2103964145479,1.741406926396188,0.5686271434668285,-19.04838227385813,-19.048382131525216,-18.45704573390401,3.203852601762188,3.203851830604565
2.1000000000000005,77.79928087931007,78.79773690949904,79.3276431792764,1.9266452887202232,0.6679969913889859,-19.969120671210934,-19.969120522239734,-19.319234060608096,3.363935695193819,3.363934924090786
2.2000000000000006,75.71058967028155,76.75493527091234,77.35922117825035,2.1311376754557037,0.7811426978376895,-20.886912090285264,-20.886911934719745,-20.175912622121302,3.524001523402748,3.524000752356984
2.3000000000000007,73.53041307696877,74.62050136918108,75.3056778743151,2.3574116155082416,0.9098603511378872,-21.8017659331278,-21.801765771011706,-21.027116598222392,3.68404926698745,3.6840484960015942
2.400000000000001,71.25904391978985,72.39472849332381,73.16755723477286,2.608414695134842,1.0562451046018522,-22.713691571789283,-22.713691403166152,-21.872880944067845,3.84407810691017,3.8440773359868894
2.500000000000001,68.89677408494782,70.077908996649,70.94539975370172,2.887608887772894,1.2227582902687895,-23.622698348420226,-23.62269817333338,-22.713240391626243,4.004087224512777,4.0040864536547085
2.600000000000001,66.44389452741119,67.67033429974036,68.63974247413206,3.1990911789163743,1.412313245139343,-24.528795575366292,-24.52879539385885,-23.54822945110317,4.164075801534145,4.164075030743957
